region,year,shipped,price,plants,wage96,coal96,elec96,population,gas96,logq,logp,logpop,bs1,bs2,bs3,bs4,yearnormal,logyear,scaledpop,totalpermits,unit1permits,unit2permits,unit34permits,unit5permits,totalstructures,_merge,_iregion_2,_iregion_3,_iregion_4,_iregion_5,_iregion_6,_iregion_7,_iregion_8,_iregion_9,_iregion_10,_iregion_11,_iregion_12,_iregion_13,_iregion_14,_iregion_15,_iregion_16,_iregion_17,_iregion_18,_iregion_19,_iregion_21,_iregion_22,_iregion_23,_iregion_24,_iregion_25,_iregion_26,_iregion_27
AL,1981,2270,63.01359,6,24.82019,42.33,6.9,3918531,6.525835,7.727535,4.143351,15.18123,0.0279,0.5105,0.4465,0.0151,0,,0.3918531,9868,5046,236,595,3991,338,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1982,2558,61.64063,6,23.38535,41.13,7.6,3925266,7.274923,7.846981,4.121321,15.18294,0.0279,0.5103,0.4468,0.0151,1,0,0.3925266,8691,4701,162,307,3521,315,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1983,3279,66.54081,6,25.08537,37.72,7.3,3934102,7.871043,8.095294,4.197815,15.18519,0.0278,0.5099,0.4471,0.0152,2,0.6931472,0.3934102,17326,8551,250,919,7606,583,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1984,3656,64.02072,6,25.22636,35.85,6.76,3951820,7.615848,8.204125,4.159207,15.18969,0.0276,0.5092,0.4479,0.0153,3,1.098612,0.395182,15308,8224,228,1665,5191,461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1985,3721,60.52792,6,25.51949,34.2,6.74,3972523,7.423492,8.221747,4.103105,15.19491,0.0274,0.5084,0.4488,0.0154,4,1.386294,0.3972523,17237,9932,166,708,6431,544,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1986,3477,58.66224,6,25.62142,31.59,6.55,3991569,7.170125,8.153925,4.071796,15.19969,0.0272,0.5077,0.4496,0.0155,5,1.609438,0.3991569,19180,11520,240,534,6886,608,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1987,3600,57.61433,6,26.3584,29.74,6.15,4015264,7.064815,8.188689,4.053771,15.20561,0.027,0.5068,0.4505,0.0157,6,1.791759,0.4015264,14523,10649,138,291,3445,346,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1988,3524,55.62171,6,26.42243,27.52,5.86,4023844,6.583336,8.167352,4.018574,15.20775,0.0269,0.5064,0.4509,0.0157,7,1.94591,0.4023844,12773,9668,170,430,2505,236,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1989,3169,49.4911,5,25.89268,26.2,5.67,4030222,6.199297,8.061172,3.901793,15.20933,0.0268,0.5062,0.4512,0.0158,8,2.079442,0.4030222,12042,8500,130,502,2910,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1990,3585,53.31869,5,25.78088,25.15,5.48,4048508,6.275031,8.184514,3.976287,15.21386,0.0267,0.5055,0.4519,0.0159,9,2.197225,0.4048508,12525,8817,160,188,3360,253,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
